,subname,runs,nii_exists,rms_exists,rms_mean,rms_valid,rms_above_02,rms_above_02_valid
159,HCD1946873_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.079805164,FALSE,0.025157233,FALSE
160,HCD2523345_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.069030182,FALSE,0.006289308,FALSE
161,HCD2523345_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.051445546,FALSE,0,FALSE
162,HCD2523345_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.083125265,FALSE,0.008385744,FALSE
163,HCD2523345_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.071584792,FALSE,0.01048218,FALSE
164,HCD0848060_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.071036498,FALSE,0,FALSE
165,HCD0848060_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.063453705,FALSE,0,FALSE
166,HCD0848060_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.066609907,FALSE,0,FALSE
167,HCD0848060_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.057925774,FALSE,0,FALSE
168,HCD0752855_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.048094652,FALSE,0.002096436,FALSE
169,HCD0752855_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.040745764,FALSE,0,FALSE
170,HCD0752855_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.037697016,FALSE,0,FALSE
171,HCD0752855_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.028365647,FALSE,0,FALSE
172,HCD2462654_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.065235061,FALSE,0,FALSE
173,HCD2462654_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.036167926,FALSE,0,FALSE
174,HCD2462654_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.095213465,FALSE,0.020964361,FALSE
175,HCD2462654_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.064808234,FALSE,0,FALSE
176,HCD0383143_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.087892168,FALSE,0.006289308,FALSE
177,HCD0383143_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.072024692,FALSE,0,FALSE
178,HCD0383143_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.100797053,FALSE,0.012578616,FALSE
179,HCD0383143_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.084358535,FALSE,0.002096436,FALSE
180,HCD1400728_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.0571243,FALSE,0,FALSE
181,HCD1400728_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.048600108,FALSE,0.004192872,FALSE
182,HCD1400728_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.065012538,FALSE,0.006289308,FALSE
183,HCD1400728_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.032698231,FALSE,0,FALSE
184,HCD0248440_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.071384539,FALSE,0,FALSE
185,HCD0248440_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.050195561,FALSE,0,FALSE
186,HCD0248440_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.066365237,FALSE,0,FALSE
187,HCD0248440_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.053073315,FALSE,0,FALSE
188,HCD0311118_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.067725123,FALSE,0,FALSE
189,HCD0311118_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.043276897,FALSE,0,FALSE
190,HCD0311118_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.06012994,FALSE,0,FALSE
191,HCD0311118_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.052547855,FALSE,0,FALSE
192,HCD2365454_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.109244856,FALSE,0.109014675,FALSE
193,HCD2365454_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.127432112,FALSE,0.129979036,FALSE
194,HCD2365454_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.091760569,FALSE,0.064989518,FALSE
195,HCD2365454_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.074368034,FALSE,0.039832285,FALSE
196,HCD1501936_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.054912369,FALSE,0,FALSE
197,HCD1501936_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.037607615,FALSE,0.002096436,FALSE
198,HCD1501936_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.062480429,FALSE,0.002096436,FALSE
199,HCD1501936_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.035527737,FALSE,0.002096436,FALSE
200,HCD0403224_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.13715211,FALSE,0.238993711,FALSE
201,HCD0403224_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.116975208,FALSE,0.060796646,FALSE
